ID                  | Num | Name                    
siriushits1         | 2   | SiriusXM Hits 1         
9492                | 3   | Pandora Now             
9500                | 4   | SoulCycle Radio         
siriusgold          | 5   | 50s on 5                
60svibrations       | 6   | 60s on 6                
totally70s          | 7   | 70s on 7                
big80s              | 8   | 80s on 8                
8206                | 9   | 90s on 9                
8208                | 10  | Pop2K                   
8241                | 11  | KIIS-Los Angeles        
9450                | 12  | PopRocks                
9406                | 13  | Pitbull's Globalization 
coffeehouse         | 14  | The Coffee House        
thepulse            | 15  | The Pulse               
starlite            | 16  | The Blend               
thebridge           | 17  | The Bridge              
9446                | 18  | The Beatles Channel     
elvisradio          | 19  | Elvis Radio             
estreetradio        | 20  | E Street Radio          
undergroundgarage   | 21  | Underground Garage      
8370                | 22  | Pearl Jam Radio         
gratefuldead        | 23  | Grateful Dead           
radiomargaritaville | 24  | Radio Margaritaville    
classicrewind       | 25  | Classic Rewind          
classicvinyl        | 26  | Classic Vinyl           
thevault            | 27  | Deep Tracks             
thespectrum         | 28  | The Spectrum            
9139                | 29  | Phish Radio             
9506                | 30  | Dave Matthews Band Radio
9407                | 31  | Tom Petty Radio         
9507                | 32  | U2 X-Radio              
firstwave           | 33  | 1st Wave                
90salternative      | 34  | Lithium                 
leftofcenter        | 35  | SiriusXMU               
altnation           | 36  | Alt Nation              
octane              | 37  | Octane                  
buzzsaw             | 38  | Ozzy's Boneyard         
hairnation          | 39  | Hair Nation             
hardattack          | 40  | Liquid Metal            
9413                | 41  | SiriusXM Turbo          
reggaerhythms       | 42  | The Joint               
9471                | 43  | Rock the Bells Radio    
hiphopnation        | 44  | Hip-Hop Nation          
shade45             | 45  | Shade 45                
hotjamz             | 46  | The Heat                
9339                | 47  | SiriusXM FLY            
heartandsoul        | 48  | Heart & Soul            
soultown            | 49  | Soul Town               
8228                | 50  | The Groove              
thebeat             | 51  | BPM                     
9472                | 52  | Diplo's Revolution      
chill               | 53  | SiriusXM Chill          
9145                | 54  | Studio 54 Radio         
9421                | 55  | The Garth Channel       
newcountry          | 56  | The Highway             
9418                | 57  | No Shoes Radio          
primecountry        | 58  | Prime Country           
theroadhouse        | 59  | Willie's Roadhouse      
outlawcountry       | 60  | Outlaw Country          
9340                | 61  | Y2Kountry               
bluegrass           | 62  | Bluegrass Junction      
spirit              | 63  | The Message             
praise              | 64  | Kirk Franklin's Praise  
8229                | 65  | enLighten               
jazzcafe            | 66  | Watercolors             
purejazz            | 67  | Real Jazz               
spa73               | 68  | Spa                     
8215                | 69  | Escape                  
9482                | 70  | The Billy Joel Channel  
